product_id,title,category,description,price,stock_available,view_count,number_of_reviews,average_rating,reviews
P1000,DSLR Camera,Cameras,High performance and reliability for daily use,1508.19,True,119,86,4.1,Would buy again|Not worth the price|Could be better
P1001,Portable Bluetooth Speaker,Audio,"Compact, stylish, and powerful",1573.38,True,7763,153,3.5,Very satisfied|Excellent quality|Would buy again
P1002,Wi-Fi 6 Router,Networking,User-friendly design and long battery life,1188.92,False,1577,208,2.0,Great value for money|Amazing features|Could be better
P1003,5G Android Phone,Mobile Phones,"Compact, stylish, and powerful",1497.48,True,6117,448,4.6,Highly recommend|Would buy again|Battery lasts long
P1004,"OLED TV 65""",TVs,"Perfect for work, play, and everything in between",261.05,False,321,443,2.0,Great value for money|Excellent quality|Amazing features
P1005,Action Camera,Cameras,High performance and reliability for daily use,1542.11,True,5416,309,4.6,Highly recommend|Amazing features|Excellent quality
P1006,Mirrorless Camera,Cameras,"Perfect for work, play, and everything in between",1992.77,False,9932,105,3.4,Great value for money|Could be better|Battery lasts long
P1007,External SSD 1TB,Computer Accessories,"Perfect for work, play, and everything in between",407.8,True,6857,153,4.4,Battery lasts long|Very satisfied|Highly recommend
P1008,USB-C Hub,Computer Accessories,Equipped with the latest technology,279.06,True,9564,462,4.2,Battery lasts long|Very satisfied|Would buy again
P1009,Gaming Laptop 16GB RAM,Laptops,User-friendly design and long battery life,759.2,False,3553,318,2.1,Could be better|Poor customer service|Highly recommend
P1010,Soundbar with Subwoofer,Audio,"Perfect for work, play, and everything in between",535.31,False,4672,296,1.1,Poor customer service|Highly recommend|Great value for money
P1011,External SSD 1TB,Computer Accessories,User-friendly design and long battery life,530.57,True,8232,100,4.2,Very satisfied|Amazing features|Excellent quality
P1012,Smart Microwave,Home Appliances,Equipped with the latest technology,1699.54,True,2300,409,4.4,Excellent quality|Amazing features|Great value for money
P1013,"OLED TV 65""",TVs,"Perfect for work, play, and everything in between",705.67,True,9863,4,3.6,Battery lasts long|Could be better|Excellent quality
P1014,Budget Smartphone,Mobile Phones,User-friendly design and long battery life,694.62,False,2937,219,4.8,Amazing features|Poor customer service|Excellent quality
P1015,Air Purifier,Home Appliances,User-friendly design and long battery life,677.06,False,285,406,1.6,Amazing features|Could be better|Battery lasts long
P1016,Smartwatch with GPS,Wearables,High performance and reliability for daily use,581.14,False,9923,431,2.9,Very satisfied|Poor customer service|Could be better
P1017,External SSD 1TB,Computer Accessories,"Compact, stylish, and powerful",1405.75,True,5679,102,1.2,Battery lasts long|Would buy again|Amazing features
P1018,Wireless Noise Cancelling Headphones,Audio,User-friendly design and long battery life,486.3,True,818,62,1.0,Battery lasts long|Very satisfied|Highly recommend
P1019,Portable Bluetooth Speaker,Audio,Equipped with the latest technology,465.78,False,4961,464,4.7,Poor customer service|Very satisfied|Great value for money
