_id,product_id,title,category,description,price,stock_available,view_count,number_of_reviews,average_rating,reviews
68728b0b46d5894df7b6d069,P1000,DSLR Camera,Cameras,High performance and reliability for daily use,1508.19,True,119,86,4.1,Would buy again|Not worth the price|Could be better
68728b0b46d5894df7b6d06a,P1002,Wi-Fi 6 Router,Networking,User-friendly design and long battery life,1188.92,False,1577,208,2,Great value for money|Amazing features|Could be better
68728b0b46d5894df7b6d06b,P1003,5G Android Phone,Mobile Phones,"Compact, stylish, and powerful",1497.48,True,6117,448,4.6,Highly recommend|Would buy again|Battery lasts long
68728b0b46d5894df7b6d06c,P1004,"OLED TV 65""",TVs,"Perfect for work, play, and everything in between",261.05,False,321,443,2,Great value for money|Excellent quality|Amazing features
68728b0b46d5894df7b6d06d,P1005,Action Camera,Cameras,High performance and reliability for daily use,1542.11,True,5416,309,4.6,Highly recommend|Amazing features|Excellent quality
68728b0b46d5894df7b6d06e,P1006,Mirrorless Camera,Cameras,"Perfect for work, play, and everything in between",1992.77,False,9932,105,3.4,Great value for money|Could be better|Battery lasts long
68728b0b46d5894df7b6d06f,P1001,Portable Bluetooth Speaker,Audio,"Compact, stylish, and powerful",1573.38,True,7763,153,3.5,Very satisfied|Excellent quality|Would buy again
68728b0b46d5894df7b6d070,P1007,External SSD 1TB,Computer Accessories,"Perfect for work, play, and everything in between",407.8,True,6857,153,4.4,Battery lasts long|Very satisfied|Highly recommend
68728b0b46d5894df7b6d071,P1009,Gaming Laptop 16GB RAM,Laptops,User-friendly design and long battery life,759.2,False,3553,318,2.1,Could be better|Poor customer service|Highly recommend
68728b0b46d5894df7b6d072,P1008,USB-C Hub,Computer Accessories,Equipped with the latest technology,279.06,True,9564,462,4.2,Battery lasts long|Very satisfied|Would buy again
68728b0b46d5894df7b6d073,P1011,External SSD 1TB,Computer Accessories,User-friendly design and long battery life,530.57,True,8232,100,4.2,Very satisfied|Amazing features|Excellent quality
68728b0b46d5894df7b6d074,P1012,Smart Microwave,Home Appliances,Equipped with the latest technology,1699.54,True,2300,409,4.4,Excellent quality|Amazing features|Great value for money
68728b0b46d5894df7b6d075,P1010,Soundbar with Subwoofer,Audio,"Perfect for work, play, and everything in between",535.31,False,4672,296,1.1,Poor customer service|Highly recommend|Great value for money
68728b0b46d5894df7b6d076,P1013,"OLED TV 65""",TVs,"Perfect for work, play, and everything in between",705.67,True,9863,4,3.6,Battery lasts long|Could be better|Excellent quality
68728b0b46d5894df7b6d077,P1014,Budget Smartphone,Mobile Phones,User-friendly design and long battery life,694.62,False,2937,219,4.8,Amazing features|Poor customer service|Excellent quality
68728b0b46d5894df7b6d078,P1015,Air Purifier,Home Appliances,User-friendly design and long battery life,677.06,False,285,406,1.6,Amazing features|Could be better|Battery lasts long
68728b0b46d5894df7b6d079,P1016,Smartwatch with GPS,Wearables,High performance and reliability for daily use,581.14,False,9923,431,2.9,Very satisfied|Poor customer service|Could be better
68728b0b46d5894df7b6d07a,P1017,External SSD 1TB,Computer Accessories,"Compact, stylish, and powerful",1405.75,True,5679,102,1.2,Battery lasts long|Would buy again|Amazing features
68728b0b46d5894df7b6d07b,P1019,Portable Bluetooth Speaker,Audio,Equipped with the latest technology,465.78,False,4961,464,4.7,Poor customer service|Very satisfied|Great value for money
68728b0b46d5894df7b6d07c,P1021,"OLED TV 65""",TVs,Equipped with the latest technology,1927.11,True,8116,482,2.6,Great value for money|Not worth the price|Highly recommend
68728b0b46d5894df7b6d07d,P1020,Network Switch,Networking,"Perfect for work, play, and everything in between",1775.72,False,8673,40,2.7,Could be better|Poor customer service|Not worth the price
68728b0b46d5894df7b6d07e,P1023,Ergonomic Mouse,Computer Accessories,User-friendly design and long battery life,520.38,True,6366,457,3,Excellent quality|Amazing features|Great value for money
68728b0b46d5894df7b6d07f,P1024,"Smart LED TV 43""",TVs,"Perfect for work, play, and everything in between",258.11,True,8715,157,4.2,Could be better|Great value for money|Poor customer service
68728b0b46d5894df7b6d080,P1026,Smart Microwave,Home Appliances,Equipped with the latest technology,839.37,False,3095,292,3.6,Poor customer service|Excellent quality|Would buy again
